TS time deltat Energy E1 E2 Dissipation Trd volume area area_n E3 Lat_area Epress E_tension1 E_tension2 E_tension3 pressure Zmax stress strain totBonds
450 0.0901686 0.000920794 5.50163 2.48622 2.19036 1.75885e-05 1.15481 0.0994329 1.15481 0.81594 0.825056 0.529405 -19.7688 4.0797 4.0797 2.64616 -226.336 1 0 0 0.81594
455 0.0948665 0.000968248 5.58272 2.52021 2.225 1.66348e-05 1.16028 0.100538 1.16028 0.81594 0.837502 0.528542 -20.0453 4.0797 4.0797 2.64185 -227.33 1 0 0 0.81594
460 0.0998066 0.00101815 5.65688 2.55056 2.25666 1.57355e-05 1.16578 0.101643 1.16578 0.81594 0.849665 0.527686 -20.3068 4.0797 4.0797 2.63758 -228.145 1 0 0 0.81594
465 0.105001 0.00107062 5.72343 2.5769 2.285 1.48875e-05 1.1713 0.102747 1.1713 0.81594 0.86153 0.526837 -20.5519 4.0797 4.0797 2.63334 -228.77 1 0 0 0.81594
470 0.110464 0.00112579 5.78165 2.59886 2.30971 1.40881e-05 1.17684 0.103852 1.17684 0.81594 0.873081 0.525995 -20.7791 4.0797 4.0797 2.62914 -229.193 1 0 0 0.81594
475 0.116207 0.00118381 5.83078 2.61606 2.33042 1.33348e-05 1.18241 0.104957 1.18241 0.81594 0.884302 0.525159 -20.9867 4.0797 4.0797 2.62497 -229.402 1 0 0 0.81594
480 0.122247 0.00124482 5.87004 2.62808 2.34678 1.26252e-05 1.18801 0.106062 1.18801 0.81594 0.895177 0.524331 -21.1732 4.0797 4.0797 2.62083 -229.386 1 0 0 0.81594
485 0.128598 0.00130897 5.89863 2.63452 2.35842 1.1957e-05 1.19364 0.107167 1.19364 0.81594 0.905692 0.523509 -21.3367 4.0797 4.0797 2.61673 -229.13 1 0 0 0.81594
490 0.135277 0.00137643 5.91572 2.63495 2.36494 1.13283e-05 1.19929 0.108271 1.19929 0.81594 0.915829 0.522694 -21.4753 4.0797 4.0797 2.61266 -228.623 1 0 0 0.81594
495 0.142299 0.00144737 5.92047 2.62894 2.36596 1.07371e-05 1.20498 0.109376 1.20498 0.81594 0.925572 0.521886 -21.5873 4.0797 4.0797 2.60863 -227.848 1 0 0 0.81594
500 0.149684 0.00152196 5.91204 2.61605 2.36108 1.01816e-05 1.21071 0.110481 1.21071 0.81594 0.934905 0.521084 -21.6705 4.0797 4.0797 2.60462 -226.794 1 0 0 0.81594
505 0.157449 0.00160039 5.7137 2.51298 2.27264 1.63895e-07 1.21114 0.110481 1.21114 0.81594 0.928074 0.520904 -21.2603 4.0797 4.0797 2.6045 -222.57 1 0 0 0.81594
510 0.165614 0.00168287 5.50956 2.40726 2.18129 1.73237e-07 1.21159 0.110481 1.21159 0.81594 0.921007 0.52088 -20.8487 4.0797 4.0797 2.60438 -218.261 1 0 0 0.81594
515 0.1742 0.0017696 5.29981 2.2987 2.08741 1.83043e-07 1.21206 0.110481 1.21206 0.81594 0.913697 0.520855 -20.4207 4.0797 4.0797 2.60425 -213.781 1 0 0 0.81594
520 0.183229 0.0018608 5.08474 2.18748 1.99113 1.93316e-07 1.21256 0.110481 1.21256 0.81594 0.906139 0.520828 -19.9763 4.0797 4.0797 2.60411 -209.129 1 0 0 0.81594
525 0.192723 0.00195669 4.86474 2.07381 1.8926 2.04051e-07 1.21308 0.110481 1.21308 0.81594 0.898332 0.520801 -19.5153 4.0797 4.0797 2.60397 -204.302 1 0 0 0.81594
530 0.202706 0.00205753 4.64027 1.95796 1.79204 2.15238e-07 1.21362 0.110481 1.21362 0.81594 0.890271 0.520772 -19.0377 4.0797 4.0797 2.60383 -199.303 1 0 0 0.81594
535 0.213203 0.00216357 4.41191 1.84027 1.68969 2.26856e-07 1.21419 0.110481 1.21419 0.81594 0.881953 0.520742 -18.5438 4.0797 4.0797 2.60368 -194.132 1 0 0 0.81594
540 0.224242 0.00227507 4.18034 1.72112 1.58585 2.3888e-07 1.21479 0.110481 1.21479 0.81594 0.873375 0.52071 -18.0338 4.0797 4.0797 2.60352 -188.793 1 0 0 0.81594
545 0.23585 0.00239232 3.94638 1.60098 1.48086 2.51272e-07 1.21541 0.110481 1.21541 0.81594 0.864534 0.520678 -17.5083 4.0797 4.0797 2.60336 -183.291 1 0 0 0.81594
550 0.248055 0.00251561 3.71098 1.4804 1.37515 2.63985e-07 1.21605 0.110481 1.21605 0.81594 0.855429 0.520644 -16.9679 4.0797 4.0797 2.60318 -177.634 1 0 0 0.81594
555 0.26089 0.00264525 3.47523 1.35999 1.26918 2.76959e-07 1.21673 0.110481 1.21673 0.81594 0.846056 0.520609 -16.4137 4.0797 4.0797 2.60301 -171.832 1 0 0 0.81594
560 0.274386 0.00278158 3.24036 1.24046 1.16349 2.90118e-07 1.21743 0.110481 1.21743 0.81594 0.836413 0.520572 -15.8469 4.0797 4.0797 2.60282 -165.898 1 0 0 0.81594
565 0.288578 0.00292493 3.00777 1.12258 1.05869 3.03366e-07 1.21815 0.110481 1.21815 0.81594 0.826497 0.520535 -15.269 4.0797 4.0797 2.60264 -159.849 1 0 0 0.81594
570 0.303501 0.00307567 2.77898 1.00723 0.955445 3.16579e-07 1.2189 0.110481 1.2189 0.81594 0.816307 0.520496 -14.6821 4.0797 4.0797 2.60244 -153.705 1 0 0 0.81594
575 0.319193 0.00323417 2.55562 0.895308 0.854477 3.2958e-07 1.21967 0.110481 1.21967 0.81594 0.805839 0.520457 -14.0885 4.0797 4.0797 2.60224 -147.49 1 0 0 0.81594
580 0.335694 0.00340085 2.33945 0.787797 0.756563 3.42124e-07 1.22046 0.110481 1.22046 0.81594 0.795092 0.520416 -13.4909 4.0797 4.0797 2.60204 -141.234 1 0 0 0.81594
585 0.353045 0.00357611 2.13225 0.685681 0.662508 3.53848e-07 1.22126 0.110481 1.22126 0.81594 0.784062 0.520376 -12.8925 4.0797 4.0797 2.60184 -134.969 1 0 0 0.81594
590 0.371291 0.00376041 1.93578 0.589922 0.573117 3.64082e-07 1.22208 0.110481 1.22208 0.81594 0.772742 0.520335 -12.2969 4.0797 4.0797 2.60164 -128.734 1 0 0 0.81594
595 0.390476 0.00395421 1.75175 0.501432 0.489193 3.72605e-07 1.2229 0.110481 1.2229 0.81594 0.76113 0.520296 -11.7083 4.0797 4.0797 2.60144 -122.572 1 0 0 0.81594
600 0.410651 0.00415799 1.58172 0.421004 0.411489 3.78402e-07 1.22373 0.110481 1.22373 0.81594 0.74923 0.520257 -11.131 4.0797 4.0797 2.60125 -116.529 1 0 0 0.81594
605 0.431865 0.00437227 1.42696 0.349252 0.340658 3.80177e-07 1.22455 0.110481 1.22455 0.81594 0.737046 0.52022 -10.5698 4.0797 4.0797 2.60106 -110.653 1 0 0 0.81594
610 0.454173 0.0045976 1.28832 0.286545 0.277201 3.76171e-07 1.22536 0.110481 1.22536 0.81594 0.724576 0.520184 -10.0294 4.0797 4.0797 2.60089 -104.996 1 0 0 0.81594
615 0.47763 0.00483454 1.16622 0.232975 0.221425 3.654e-07 1.22615 0.110481 1.22615 0.81594 0.711815 0.520152 -9.51464 4.0797 4.0797 2.60073 -99.6073 1 0 0 0.81594
620 0.502296 0.00508369 1.06057 0.188337 0.173454 3.46608e-07 1.22691 0.110481 1.22691 0.81594 0.698777 0.520123 -9.02998 4.0797 4.0797 2.60059 -94.5335 1 0 0 0.81594
625 0.528233 0.00534569 0.970752 0.152113 0.133162 3.19063e-07 1.22765 0.110481 1.22765 0.81594 0.685477 0.520096 -8.57947 4.0797 4.0797 2.60046 -89.8172 1 0 0 0.81594
630 0.555507 0.00562118 0.895614 0.123509 0.100175 2.83273e-07 1.22835 0.110481 1.22835 0.81594 0.67193 0.520073 -8.16633 4.0797 4.0797 2.60034 -85.4921 1 0 0 0.81594
635 0.584186 0.00591087 0.833578 0.10153 0.0738971 2.41168e-07 1.22901 0.110481 1.22901 0.81594 0.658151 0.520052 -7.79281 4.0797 4.0797 2.60024 -81.5817 1 0 0 0.81594
640 0.614344 0.00621549 0.782789 0.0850761 0.0535588 1.95901e-07 1.22962 0.110481 1.22962 0.81594 0.644155 0.520034 -7.46001 4.0797 4.0797 2.60015 -78.0977 1 0 0 0.81594
645 0.646055 0.00653581 0.741281 0.0730405 0.0382799 1.51236e-07 1.23017 0.110481 1.23017 0.81594 0.62996 0.520019 -7.1679 4.0797 4.0797 2.60008 -75.0396 1 0 0 0.81594
